zip,city,lat,long
71858,texarkana,33.585136,-93.263796
,,,
93254,santa maria,34.966867,-119.810433
,,,
20520,washington,38.894759,-77.048407
,,,
20427,washington,38.902057,-77.047558
,,,
32714,orlando,28.662553,-81.411702
,,,
32134,ocala,29.385007,-81.837948
,,,
33498,broward county,26.386067,-80.219558
,,,
31021,macon / warner robins,32.493427,-82.943054
,,,
30521,athens,34.362448,-83.292322
,,,
31804,columbus,32.662266,-84.913411
,,,
30252,atlanta,33.473512,-84.057165
,,,
39842,albany,31.760949,-84.437475
,,,
30474,statesboro,32.238578,-82.417773
,,,
95835,sacramento,38.670649,-121.525983
,,,
93203,bakersfield,35.112617,-118.832292
,,,
95364,tahoe,38.258394,-119.783024
,,,
91203,los angeles,34.153338,-118.262974
,,,
95363,modesto,37.452895,-121.229974
,,,
93665,merced,36.960108,-120.64806
,,,
90071,los angeles,34.052876,-118.254943
,,,
95724,tahoe,39.311704,-120.328125
,,,
80302,boulder,40.043465,-105.372324
,,,
80746,eastern CO,40.609603,-102.465912
,,,
81223,pueblo,38.364529,-105.612646
,,,
81243,western slope,38.265999,-107.192094
,,,
80218,denver,39.731085,-104.970674
,,,
19977,delaware,39.298946,-75.546122
,,,
20202,washington,38.887071,-77.02101
,,,
34681,tampa bay area,28.082819,-82.77596
,,,
32097,jacksonville,30.661202,-81.618793
,,,
30513,northwest GA,34.821043,-84.322383
,,,
31318,hinesville,32.142025,-81.371941
,,,
31780,albany,32.03187,-84.388811
,,,
30326,atlanta,33.849518,-84.363971
,,,
30293,columbus,32.976649,-84.611505
,,,
96786,hawaii,21.564057,-157.979306
,,,
83244,twin falls,44.116803,-113.123868
,,,
83544,lewiston / clarkston,46.490865,-116.151469
,,,
83218,logan,43.317687,-112.165272
,,,
83467,east idaho,44.979814,-113.896277
,,,
62089,springfield,39.129585,-89.495141
,,,
61243,la salle co,41.618771,-89.682944
,,,
62987,southern illinois,37.618725,-88.660351
,,,
60171,chicago,41.925046,-87.838372
,,,
60643,chicago,41.700273,-87.663267
,,,
62865,southern illinois,37.972104,-89.080092
,,,
61936,decatur,39.801351,-88.730259
,,,
61039,rockford,42.208868,-89.467558
,,,
47457,bloomington,38.909139,-86.90475
,,,
47337,richmond,39.802476,-85.437276
,,,
46183,indianapolis,39.652679,-86.281653
,,,
46068,kokomo,40.376963,-86.115827
,,,
47836,terre haute,39.646104,-87.179079
,,,
47683,evansville,38.276782,-87.376955
,,,
47969,lafayette / west lafayette,40.205717,-87.148731
,,,
52060,dubuque,42.10602,-90.682756
,,,
51244,sioux city,43.244772,-95.935555
,,,
50603,mason city,43.187727,-92.459489
,,,
52647,iowa city,41.135101,-91.544658
,,,
51036,sioux city,42.96972,-96.189483
,,,
66216,kansas city,39.013774,-94.741577
,,,
66728,joplin,37.171277,-94.704071
,,,
67520,salina,38.589677,-99.187712
,,,
40380,lexington,37.815614,-83.792349
,,,
42431,western KY,37.334473,-87.481387
,,,
41260,eastern kentucky,37.825569,-82.752785
,,,
40404,lexington,37.573471,-84.290858
,,,
